claim_id,candidate_clause,scenario_summary,claim_total,over_cap,receipts,clause_verdict,expected_decision,violated_clause_ids,reasoning,relabel_clause_verdict
C0531,ENT-01,Client entertainment. Attendees: ['Deepa S. (Kaveri Textiles - our supplier)']. Purpose: 'Supplier relationship',1803.9,FALSE,data/generated/receipts/C0531_L1.jpg,non_compliant,escalate,ENT-01,ENT-01 is explicitly for 'clients or prospective clients'; a dinner with a supplier does not qualify.,
C0532,ENT-01,Client entertainment. Attendees: ['Two people met at an industry conference']. Purpose: 'Networking',1605.46,FALSE,data/generated/receipts/C0532_L1.jpg,non_compliant,escalate,ENT-01,ENT-01 requires the claim to list all attendees and 'their organisations'; this information is missing.,
C0533,ENT-02,"Team meal, 5 people. Justification: 'Sprint closure dinner, approved verbally by manager'",4261.96,FALSE,data/generated/receipts/C0533_L1.jpg,non_compliant,escalate,ENT-02,ENT-02 requires celebrations to be 'approved in advance' by the manager; Written approval is needed.,
C0534,ENT-02,"Team meal, 3 people. Justification: 'Lunch to welcome a new joiner'",1814.4,FALSE,data/generated/receipts/C0534_L1.jpg,non_compliant,escalate,ENT-02,ENT-02 requires team meals to be 'approved in advance' by the manager; no approval is mentioned.,
C0535,ENT-02,"Team meal, 4 people. Justification: 'Diwali celebration (manager approval attached)'",3089.1,FALSE,data/generated/receipts/C0535_L1.jpg,compliant,auto_approve,,ENT-02 allows team meals for celebrations 'approved in advance' by the manager; the claim includes attached manager approval.,
C0536,ENT-02,"Team meal, 5 people. Justification: 'Farewell dinner for a colleague'",3467.1,FALSE,data/generated/receipts/C0536_L1.jpg,non_compliant,escalate,ENT-02,ENT-02 requires team meals to be 'approved in advance' by the manager; no approval is mentioned.,
C0537,ENT-02,"Team meal, 3 people. Justification: 'Working dinner during the release night'",1833.3,FALSE,data/generated/receipts/C0537_L1.jpg,non_compliant,escalate,ENT-02,ENT-02 only applies to 'team celebrations'; a working dinner during a release night is not a celebration.,
C0538,ENT-02,"Team meal, 5 people. Justification: 'Team dinner'",3839.86,FALSE,data/generated/receipts/C0538_L1.jpg,non_compliant,escalate,ENT-02,ENT-02 requires team meals to be 'approved in advance' by the manager; no approval is mentioned.,
C0539,ENT-03,Client dinner with 1 guest(s); 1 x Draught Beer 500ml,1074.46,FALSE,data/generated/receipts/C0539_L1.jpg,compliant,auto_approve,,ENT-03 allows alcohol when consumption is 'reasonable and appropriate'; the listed quantity is reasonable for the attendees.,
C0540,ENT-03,Client dinner with 2 guest(s); 2 x House Red Wine (glass),2706,FALSE,data/generated/receipts/C0540_L1.jpg,compliant,auto_approve,,ENT-03 allows alcohol when consumption is 'reasonable and appropriate'; the listed quantity is reasonable for the attendees.,
C0541,ENT-03,Client dinner with 1 guest(s); 4 x Single Malt 60ml,4203.3,FALSE,data/generated/receipts/C0541_L1.jpg,non_compliant,escalate,ENT-03,ENT-03 requires consumption to be 'reasonable and appropriate'; this quantity for the number of guests is borderline and requires review.,
C0542,ENT-03,Client dinner with 1 guest(s); 6 x Draught Beer 500ml,3573.16,FALSE,data/generated/receipts/C0542_L1.jpg,non_compliant,escalate,ENT-03,ENT-03 requires consumption to be 'reasonable and appropriate'; this quantity for the number of guests is borderline and requires review.,
C0543,ENT-03,Client dinner with 1 guest(s); 3 x House Red Wine (glass),2461.8,FALSE,data/generated/receipts/C0543_L1.jpg,compliant,auto_approve,,ENT-03 allows alcohol when consumption is 'reasonable and appropriate'; the listed quantity is reasonable for the attendees.,
C0544,ENT-03,Client dinner with 1 guest(s); 8 x Single Malt 60ml,6946.2,TRUE,data/generated/receipts/C0544_L1.jpg,non_compliant,escalate,ENT-03,ENT-03 requires consumption to be 'reasonable and appropriate'; 8 drinks for a host and one guest is excessive.,
C0545,TRN-02,Sedan Prime cab at 23:15. Justification: 'Late client call',623.7,FALSE,data/generated/receipts/C0545_L1.jpg,compliant,auto_approve,,TRN-02 permits premium cabs 'when travelling after 22:00'; the cab was taken at 23:15.,
C0546,TRN-02,SUV cab at 18:00. Justification: 'Carrying demo equipment',1468.95,FALSE,data/generated/receipts/C0546_L1.jpg,compliant,auto_approve,,TRN-02 permits premium cabs when 'otherwise necessary for business'; this justification meets the requirement.,
C0547,TRN-02,Sedan Prime cab at 14:00. Justification: 'Travelling with client',1438.5,FALSE,data/generated/receipts/C0547_L1.jpg,compliant,auto_approve,,TRN-02 permits premium cabs 'when accompanying clients'; the summary explicitly states this.,
C0548,TRN-02,Sedan Prime cab at 09:00. Justification: 'No minis available',919.8,FALSE,data/generated/receipts/C0548_L1.jpg,compliant,auto_approve,,TRN-02 permits premium cabs when 'otherwise necessary for business'; this justification meets the requirement.,
C0549,TRN-02,SUV cab at 21:40. Justification: 'Late meeting',706.65,FALSE,data/generated/receipts/C0549_L1.jpg,non_compliant,escalate,TRN-02,TRN-02 permits premium cabs after 22:00 or when 'necessary for business'; a 21:40 meeting does not automatically justify an SUV.,
C0550,TRN-02,Sedan Prime cab at 11:00. Justification: '(none)',572.25,FALSE,data/generated/receipts/C0550_L1.jpg,non_compliant,escalate,TRN-02,"TRN-02 requires premium cabs to be used after 22:00, with clients, or for business necessity; no justification was provided.",
C0551,AIR-02,Economy flight booked 2 day(s) ahead. Reason: 'Client meeting confirmed late',4618,FALSE,data/generated/receipts/C0551_L1.jpg,compliant,auto_approve,,AIR-02 requires that later bookings 'must include a reason'; a valid business reason was provided.,
C0552,AIR-02,Economy flight booked 1 day(s) ahead. Reason: '(none)',3905.2,FALSE,data/generated/receipts/C0552_L1.jpg,non_compliant,escalate,AIR-02,AIR-02 requires that later bookings 'must include a reason'; no reason was provided.,
C0553,AIR-02,Economy flight booked 3 day(s) ahead. Reason: 'Rescheduled by the client',3896.7,FALSE,data/generated/receipts/C0553_L1.jpg,compliant,auto_approve,,AIR-02 requires that later bookings 'must include a reason'; a valid business reason was provided.,
C0554,AIR-02,Economy flight booked 4 day(s) ahead. Reason: 'Forgot to book earlier',3790.25,FALSE,data/generated/receipts/C0554_L1.jpg,non_compliant,escalate,AIR-02,AIR-02 requires that later bookings 'must include a reason'; forgetting is not a valid business justification.,
C0555,AIR-02,Economy flight booked 1 day(s) ahead. Reason: 'Urgent production issue at client site',5102.65,TRUE,data/generated/receipts/C0555_L1.jpg,compliant,escalate,,AIR-02 requires that later bookings 'must include a reason'; a valid business reason was provided.,
C0556,MISC-02,Incidental: Umbrella Rs.450. Justification: 'Monsoon site visit',450,FALSE,data/generated/receipts/C0556_L1.jpg,compliant,auto_approve,,MISC-02 covers expenses 'reasonably necessary for business travel'; this item is justified by the provided business context.,
C0557,MISC-02,Incidental: Phone charger Rs.799. Justification: 'Forgot mine at home',799,FALSE,data/generated/receipts/C0557_L1.jpg,non_compliant,escalate,MISC-02,MISC-02 requires expenses to be 'reasonably necessary for business travel'; replacing a forgotten personal item does not qualify.,
C0558,MISC-02,Incidental: Printing & binding Rs.320. Justification: 'Client documents for workshop',320,FALSE,data/generated/receipts/C0558_L1.jpg,compliant,auto_approve,,MISC-02 covers expenses 'reasonably necessary for business travel'; this item is justified by the provided business context.,
C0559,MISC-02,Incidental: Gym day pass Rs.500. Justification: 'Hotel had no gym',500,FALSE,data/generated/receipts/C0559_L1.jpg,non_compliant,escalate,MISC-02,MISC-02 requires expenses to be 'reasonably necessary for business travel'; a gym pass is a personal expense.,
C0560,MISC-02,Incidental: Local SIM card Rs.199. Justification: 'Poor network on site',199,FALSE,data/generated/receipts/C0560_L1.jpg,compliant,auto_approve,,MISC-02 covers expenses 'reasonably necessary for business travel'; this item is justified by the provided business context.,
